Name,Description,Est. Value,Rarity,Weight,Category,Properties,Requirements,Author,Rarity Number
Architect's Underwear of Confidence,"This loincloth causes the wearer to have extremely elevated self confidence. As a result, they get +2 on Bluff Diplomacy and Intimidate checks, and -2 on Listen Search Spot and Appraise checks, they also tend to make reckless decisions more often.",500. gp,Rare,n/a,Wondrous Item,,,AtomicArchitect,4
Armor +1,You have a +1 bonus to AC while wearing this armor.,"1,500. gp",Rare,8 - 60,Armor,"Light, Medium or Heavy",,DMG,4
Armor of Barbarian Rage,This is a set of Studded Leather Armour that has been enchanted with the spirit of a long dead barbarian warrior. Once per day it allows the user to channel it's rageful spirit.,300. gp,Rare,13,Armor,"Light Armor (AC is 14+DEX mod) - Once per day the user can use Barbarian Rage during this rage:
You have advantage on Strength checks and Strength saving throws. When you make a melee weapon attack using Strength, you gain a bonus to the damage roll that increases as you gain levels, counting your own level as the levels you would have in barbarian, as shown in the Rage Damage column of the Barbarian table. You have resistance to bludgeoning, piercing, and slashing damage. You cannot cast any spells while in the rage and any concentration spells being maintained when you enter rage instantly fade. This effect lasts for 1 minute, or dissipates if you do not deal physical or take any type of damage in a turn.
",Requires Attunement,PlatypusPal,4
Armor of Resistance,You have resistance to one type of damage while you wear this armor. The DM chooses the type or determines it randomly from the options below. ,"6,000. gp",Rare,8 - 60,Armor,"Light, Medium or Heavy",Requires Attunement,DMG,4
Armor of Vulnerability,"While wearing this armor, you have resistance to one of the following damage types: bludgeoning, piercing, or slashing. The DM chooses the type or determines it randomly. Curse. This armor is cursed, a fact that is revealed only when an identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the remove curse spell or similar magic: removing the armor fails to end the curse. While cursed you have vulnerability to two of the three damage type associated with the armor (not the one to which it grants resistance). ",,Rare,65,Armor,Plate Armor,Requires Attunement,DMG,4
Arrow-catching Shield,"You gain a +2 bonus to AC against ranged attacks while you wield this shield. This bonus is in addition to the shield's normal bonus to AC. In addition, whenever an attacker makes a ranged attack against a target within 5 feet of you, you can use your reaction to become the target of the attack instead.","6,000. gp",Rare,6,Armor,,Requires Attunement,DMG,4
Arval's Soundpiece,"Created by the very old and very crotchety wizard Arval long ago, this hollow silver box the size of a deck of playing cards has a rotating dial on top, as well as a button. When the button is pressed, a single target of the wielder's choice is linked with the device magically. By then rotating the dial, the user can alter his target's voice by up to 100%. That is to say the target can be either muted or doubled in volume, and anywhere in between. A will save DC 30 is required to resist the effect.","1,800. gp",Rare,n/a,,,,/u/LittleDizzleDaGusha,4
Backpack of Effortlessness,Halves the weight of anything placed inside of it. Nothing larger than the backpack can fit inside the backpack.,"1,000. gp",Rare,2,Container,,,PlatypusPal,4
Bad Coin,A coin that always comes up tails. Placing it anywhere tails side down causes it to flip itself over after 1 round. It takes 50 pounds of pressure to prevent this flip.,600. gp,Rare,n/a,Wondrous Item,,,Uberbeard,4
Bag of Angel Feathers,1d6 angel feathers aura of good; razor sharp; stronger than steel (can be used as weapon like dagger),,Rare,1 lb,Weapon,"1d4 Piercing - Finesse, Light, Range, Thrown - 20/60",,PlatypusPal,4
Bag of Ash,"The Bag of Ash acts like a jar of infinite water, except it just makes a grey, sooty ash.",600. gp,Rare,n/a,Wondrous Item,,,PlatypusPal,4
Bag of Beans,Inside this heavy cloth bag are 3d4 dry beans. The bag weights 1/2 pound plus 1/4 pound for each bean it contains.,,Rare,1,Wondrous Item,See DMG page 152.,,DMG,4
"Bag of Tricks, Rust","This ordinary rust coloured cloth bag appears to be empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a d8 and consulting the table that corresponds to the bag’s color. The creature vanishes at the next dawn or when it is reduced to 0 hit points. The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature. Once three fuzzy objects have been pulled from the bag, the bag cannot be used again until the next dawn.","3,000. gp",Rare,0.5,Wondrous Item,,,DMG,4
"Bag of Tricks, Tan","This ordinary tan cloth bag appears to be empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a d8 and consulting the table that corresponds to the bag’s color. The creature vanishes at the next dawn or when it is reduced to 0 hit points. The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature. Once three fuzzy objects have been pulled from the bag, the bag cannot be used again until the next dawn.



","6,480. gp",Rare,0.5,Wondrous Item,,,DMG,4
Ballistic Fist Hammer,Ballistic Fist Hammer (Hammer with each side acting as ballistic fists from Fallout series),,Rare,7,Weapon,Damage? Will determine cost.,,PlatypusPal,4
Banshee Spirit Dagger,"Despite appearing to be a normal dagger, even those not able to recognise the presence of magic can tell that there is something imbued in the unassuming metal hilt and blade.

When appraised it transpires that this blade was buried with a banshee and it's spirit has somehow been absorbed. Now whomever uses the dagger carries the risk that its spirit will be unleashed.","2,000. gp",Rare,2,Weapon,"On a critical hit, it'll scream like her. It hasn't happened yet, but I imagine it'll either force the target to make a will save or be feared, or possibly drop to zero hit points.",,/u/Silanoch,4
Belt of Baby Fire Giant Strength,"To all intents and purposes this resembles a Belt of Fire Giant Stength, and it certainly does have a giant's strength enchantment on it; unfortunately, the it was accidentally made with the strength of a baby fire giant. Fire giant babies have roughly the same strength as an average human man.
","1,000. gp",Rare,1,Wondrous Item,"While wearing this belt, your Strength score changes to 10. If your Strength is already equal to or greater than 10, the item has no effect on you.",Requires Attunement,Uberbeard,4
Belt of Dwarvenkind,"While wearing this belt, you gain the following benefits: Your Constitution score increases by 2, to a maximum of 20. You have advantage on Charisma (Persuasion) checks made to interact with dwarves.
In addition, while attuned to the belt, you have a 50 percent chance each day at dawn of growing a full beard if you're capable of growing one, or a visibly thicker beard if you already have one.
If you aren't a dwarf, you gain the following additional benefits while wearing the belt: You have advantage on saving throws against poison, and you have resistance against poison damage. You have darkvision out to a range of 60 feet. You can speak, read, and write Dwarvish. ","6,000. gp",Rare,1,Wondrous Item,,Requires Attunement,DMG,4
Belt of Hill Giant Strength,"While wearing this belt, your Strength score changes to 21. If your Strength is already
equal to or greater than 21, the item has no effect on you.","13,000. gp",Rare,1,Wondrous Item,,Requires Attunement,DMG,4
Berserker Axe,"You gain +1 bonus to attack and damage rolls made with this magic weapon. In addition, while you are attuned to this weapon your hit point maximum increased by 1 for each level you have attained.",,Rare,5,Weapon,"Cursed. 
See DMG page 155.",Requires Attunement,DMG,4
Bioluminescent Fluid Lantern,Shake this lantern well and you get 2d4 hours of light. It takes a standard action to shake the lantern and requires 8 hours to 'recharge'.,100. gp,Rare,1,Wondrous Item,,,PlatypusPal,4
Black Opal,"Black Opal has a greenish hue with black mottling and gold flecks. Usually found in ancient hot springs, the gem is tumbled smooth and cut cabochon. The phrase in the north ""Black as an opal"" is used as a subtle form of praise for kind-hearted rogues and the like.	","1,000. gp",Rare,n/a,Treasure,,,DMG,4
Black Pearl,A dark blue-black Pearl.,500. gp,Rare,n/a,Treasure,,,DMG,4
Blacksalt’s Luckmaker,A worn coin with notched edges.,200. gp,Rare,,Wondrous Item,"This coin will always come up heads. It takes on the appearance of any other coinage it is mixed in with, but retains its notched edges.",,/u/gimme_some_sunshine,4
Bleeding Rock,"A hard, roughly cut piece of basalt rock which bleeds when pressure is applies to it.",300. gp,Rare,3,Wondrous Item,The rock has a soft limit of 800ml blood a day.,,Uberbeard,4
Blindfold of Reading,"Allows comprehension of all written languages. Unfortunately, said comprehension is only granted when the blindfold is worn over the eyes - meaning you cannot see to read anything. Perhaps your group can find a work around?",100. gp,Rare,n/a,Wondrous Item,,,,4
Blindfold of Trap Awareness,"Semi-reliable Blindfold of Trap Awareness, sends shivers down the wearer’s spine when traps are near – or at random times.",,Rare,n/a,Wondrous Item,,,,4
Blood Scabbard,A scabbard stained the dark color of rust. Any blade which is placed within the scabbard will emerge covered in a sheen of blood.,"3,000. gp",Rare,2,Wondrous Item,,,,4
Blue Sapphire Ring,A silver ring with a transparent blue-white sapphire.,"1,000. gp",Rare,n/a,Treasure,,,DMG,4
Blue Spinel Ring,A silver ring with a Blue Spinel gemstone embedded on it.,500. gp,Rare,n/a,Treasure,,,DMG,4
Bolt of Chaos,Crossbow bolt of chaos – 1 random effect on hit,,Rare,n/a,Weapon,,,PlatypusPal,4
Bone Crushing Mace,Bone crushing mace – critical renders limb useless; two handed by any smaller than large,,Rare,4,Weapon,,,,4
Bone Stylus,Write the name of your antagonist in your flesh and he will leave you be. Causes one hit point of damage for every letter inscribed in the bearer's flesh. Lasts until the damage is healed.,,Rare,1,Weapon,"1d4 Piercing | Finesse, Light",,,4
Booming Scepter,"An elegant, decorative hand held scepter made of bronze and small jewels. You can hear a mild humming resonance when held to your ear.",500. gp,Rare,,Wondrous Item,Speaking directly into the scepter causes your voice to amplify so that it can be heard for 300 ft around for one minute. It requires 8 hours to build up its potency again.,,/u/gimme_some_sunshine,4
Boots of Feral Leaping,"Plain leather boots, tattered and worn, but glistening with a soft white light similar to the sunlight reflecting off freshly fallen snow.","1,500. gp",Rare,2,Armor,"When you wear these boots you can instill your leaps with incredible bursts of power. As a bonus action, you can attempt to leap. Make a DC16 Strength check: if you are successful, you can leap either 15 feet vertically or 20 feet horizontally. On a failure, you are knocked prone where you stand.",,/u/gimme_some_sunshine via Matt Mercer,4
Boots of Levitation,"While you wear these boots, you can use an action to cast the levitate spell on yourself at will. ","4,000. gp",Rare,1,Wondrous Item,,Requires Attunement,DMG,4
Boots of Speed,"While you wear these boots, you can use a bonus action and click the boots' heels together. If you do, the boots double your walking speed, and any creature that makes an opportunity attack against you has disadvantage on the attack roll. If you click your heels together again, you end the effect. When the boots' property has been used for a total of 10 minutes, the magic ceases to function until you finish a long rest. ","4,000. gp",Rare,1,Wondrous Item,,Requires Attunement,DMG,4
Bottle,"Once per day, restores 4d2 HP.This goes up to 4d4 at 5, 6d4 at 10,  8d4 at 15 and 10d4 at 20. Cannot use during Combat",,Rare,1,Potion,,,,4
Bottle of Giant's Urine,"This bottle stinks before it's even been opened. The stench of it's contents will protect whomever can stomach to wear it from almost any wandering predators. It's very difficult to get said stench out of adventuring gear, however. Potency may vary on weather, but it should ward of predators for at least a day or two.",200. gp,Rare,1,Potion,,,PlatypusPal,4
Bottle Stopper,A reusable bottle cork embossed with gold leaf and set with amethysts.,750. gp,Rare,n/a,Treasure,,,DMG,4
Bowl of Commanding Water Elementals,"While this bowl is filled with water, you can use an action to speak the bowl's command word and summon a water elemental, as if you had cast the conjure elemental spell. The bowl can't be used this way again
until the next dawn. The bowl is about 1 foot in diameter and half as deep. It weighs 3 pounds and holds about 3 gallons.","8,000. gp",Rare,1,Wondrous Item,,,DMG,4
Bracers of Defense,"While wearing these bracers, you gain a +2 bonus to AC if you are wearing no armor and using no shield.
","6,000. gp",Rare,1,Wondrous Item,,Requires Attunement,DMG,4
Brazier of Commanding Fire Elementals,"While a fire burns in this brass brazier, you can use an action to speak the brazier's command word and summon a fire elemental, as if you had cast the conjure elemental spell. The brazier can't be used this way again until the next dawn. ","8,000. gp",Rare,5,Wondrous Item,,,DMG,4
Buckler of Friendship,This buckler has been enchanted with the power to protect you and your allies.,,Rare,6,Armor,"For one round, all allies gain +1 AC.",,,4
Bullet Bag,A small bag containing 58 clay sling bullets. Each bullet has a 12 gp opal hidden inside.,696. gp,Rare,n/a,Treasure,,,,4
Canary Diamond,A diamond of incredible beauty which slowly shifts its color from the purest white to canary to blue to black and back again.,250. gp,Rare,n/a,Treasure,,,,4
Carlin's Courageous Chickens,"These three chickens have been trained to check for traps, unfortunately they are not very good at it. Once released, each chicken will roam a dungeon at 30 feet a round and will walk in the direction of any nearby traps. If there are no nearby traps, they will walk in the direction that the players imagine there to be traps (they are prone to getting caught up in the moment). Each chicken will accidentally set off any trap it is feasible for it to set off and be killed by the trap. The chicken have name tags and are called Dara, Demi and Miki.",0.2 gp,Rare,18 lbs.,Wondrous Item,,,,4
Ceremonial Dagger,This is a ceremonial dagger made of electrum with a black pearl in it's pommel.,750. gp,Rare,1,Treasure,,,DMG,4
Chimera's Mantel,This Cloak is woven together from the fur of a lion and goat over the skin of a serpent. It bears the emblem of house Chimera.,"5,000. gp",Rare,1,Wondrous Item,"While wearing this cloak and attuned to it, you gain fire resistance. In addition you can use your action to exhale fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 7d8 fire damage on a failed save, or half as much damage on a successful one. Once you use this ability, you cannot do so again until you take a short rest.",Requires Attunement,Fin Fen,4
Cinder Glove,"A left-handed glove. It remains warm regardless of atmosphere, and is almost painfully hot to be touched with.",150. gp,Rare,,Armor,"Rubbing the fingertips of this glove together creates flames that can ignite easily flammable objects. Holding a creature with it causes painful burns that will blister the skin, and unarmed strikes with this glove deal an additional 1 fire damage.",,/u/gimme_some_sunshine,4
Circlet of Inconsolable Weeping,Cursed. Anything who puts on this circlet is sent into an irreversible state of misery for 1d4 hours.,400. gp,Rare,n/a,Wondrous Item,,,,4
Coiling Rope (50 feet),"This rope coils itself after 10 rounds of being uncoiled, regardless of what is happening to it. It will undo all knots and will wind itself up around one end (always the same end). This process always takes 1 round.",800. gp,Rare,5 lbs.,Wondrous Item,,,,4
Collapsible Rod,"1’, 10’, or 20’ – any size you need!",500. gp,Rare,10 lbs.,Wondrous Item,,,,4
Countdown Cutlass,"A large sword with jewels that sequentially light up after activation. After the last jewel is lit, the sword will explode!","3,000. gp",Rare,3,Wondrous Item,"Each time an attack roll with the Countdown Cutlass succeeds, one of the 10 gemstones illuminates. Upon a successful hit with 10 stones illuminated (the 11th hit), the item explodes, dealing 4d8 fire damage in a 10-foot radius centered around the cutlass. The cutlass is consumed and cannot be remade.",,,4
Cowardly Blade,"A normal, if not well-crafted looking shortsword. There is a sigil of a chicken on the bottom of the pommel.",0. gp,Rare,,Weapon,"Damage: 1d6+1 slashing (considered magical). If the wielder receives a critical hit, faces imminent death, or is subjected to a fear effect, the sword falls to pieces.",,/u/gimme_some_sunshine,4
Crate of Chaos Mushrooms,"This wooden crate is about 60cm by 60cm by 40cm, with 'Chaos Mushrooms' burned into the lid in Sylvan. It fizzes with a faint magical aura, and smells delicious","2,000. gp",Rare,30,Treasure,"The box contains 1d10+4 'Chaos Mushrooms', which are considered a delecacy at Fey dinner parties. If a creature eats one of the Chaos Mushrooms, they must roll on the Wild Magic Surge table (PHB, p104) and are subject to the result. Each mushroom eaten requires a seperate roll. ",,/u/Ragatan,4
Crescent Armor Spikes,"A set of Armor Spikes made out of thick, sharp silver. They can be attached to full or half-plate, and behave like normal armor spikes. However, they grow faintly in total darkness - - enough for the wearer to see 5 ft, or for another person to see the wearer from up to 50 ft away.",650. gp,Rare,10,,,,/u/LittleDizzleDaGusha,4
Crystal Prism,Crystal prism (d20 x 10 gp),200. gp,Rare,1,Treasure,,,,4
Cursed Tarot Cards,Demonic themed tarot/playing cards – extra planar repercussions based on game played; tarot tales come true,,Rare,n/a,Wondrous Item,,,,4
Dagger of Bleeding,DC save to avoid bleeding damage,,Rare,1,Weapon,"1d4 Piercing; Finesse, Light, Range, Thrown",,,4
Dehydrated Minotaur Helm,"A preserved Minotaur head, old but still retaining most detail. The skin is old and decrepit, yet both the horns have been dipped in molten gold. When donned, this helmet magically causes the wearer to appear as a living minotaur—as well as protecting the wearer against critical hits. The user's stats remain the same, however, and the player only appears to be a minotaur (+4 on intimidate checks).","2,400. gp",Rare,5,,,,/u/LittleDizzleDaGusha,4
Digiridoom,"A long, Hollow wooden rod with a narrow opening at one end, and a wider one at the other.",250. gp,Rare,,Weapon,"1d6, Finesse, blowing into the narrow end of the rod creates a circle of silence within 10 feet for as long as the note is sustained.",,/u/gimme_some_sunshine,4
Dowsing Compass,"Like a regular compass, except with multiple needles each pointing toward different useful things, such as: north, the nearest source of fresh water, the strongest nearby evil aura, nearest large concentration of gold, nearest civilization (exact definition of civilization may vary by user), and nearest storm. Needles lengthen and shorten as the object gets closer or further away.",,Rare,,Wondrous Item,,,,4
Dowsing Rod,Object of secret door detection/lay out visualization,,Rare,,Wondrous Item,,,,4
Dragon Comb Set,"A set of golden combs shapes as dragons, each set with red garnets as the eyes.",750. gp,Rare,n/a,Treasure,,,DMG,4
Dragon Scale Tombe,Trained rat in wooden cage – sniffs out gold in exchange for treats. One trail ration per sniff.,,Rare,,Wondrous Item,,,,4
Dreaming Nightfeather,"A long, black feather with violet iridescence. The shaft glows softly white in moonlight.","1,500. gp",Rare,,Wondrous Item,"Holding this feather at night will allow you to fly with a speed of 60 feet, as long as your eyes are closed. The feather ignites in sunlight.",,/u/gimme_some_sunshine,4
Elixir of Madness,"Upon taking a single sip of this potion, you are afflicted with some form of madness. Roll 1d6. On a 1-3 you are afflicted with a short-term madness (DMG p. 259); on a 4-5 you are afflicted with a long-term madness (DMG p. 260); on a 6 you are afflicted with an indefinite madness.(DMG p. 260). The remainder of the elixir loses its magical properties, becoming merely a foul tasting liquid.",100. gp,Rare,n/a,Potion,Cursed.,,D&D Wiki,4
Embroidered Gloves,"An embroidered glove set designed for human sized hands, each with jewel chips.","2,500. gp",Rare,n/a,Treasure,,,DMG,4
Emerald,"An Emerald is a brilliant green beryl, cleaved along straight box like lines, with rectangular cutting in the finished gem. Emeralds are often connected with health, and so are used ornamentally for such a purpose.","1,000. gp",Rare,n/a,Treasure,,,DMG,4
Extra-Dimensional Flask,Extra dimensional flask – holds 1 gallon,,Rare,,Wondrous Item,,,,4
Eye Patch,An eye patch with a mock eye set in blue sapphire and moonstone.,"2,500. gp",Rare,n/a,Treasure,,,DMG,4
Filligins Uncontrollable Flame,A small wooden box with a silver embossed flame on the lid. Inside is a pipe-shape horn that spouts a tiny flame that can not be snuffed. The box is not flammable.,350. gp,Rare,,Wondrous Item,"When the flame ignites an object, the fire cannot be doused by any other method than returning the flame to the pipe. When the fire runs out of fuel, it will reduce to a candle-like flame and remain indefinitely.",,/u/gimme_some_sunshine,4
Filthy Bucket,"A filthy bucket, bolted to the floor, ¾ full of urine, containing silver coins, rings and necklaces.",820. gp,Rare,,Treasure,,,,4
Fire Blanket,"A heavy rug that has been kept rolled up. When unrolled, it reveals that the surface of the rug is permanently on fire. When rolled back up the fire disappears.",,Rare,,Wondrous Item,,,PlatypusPal,4
Fire Opal,This Fire Opal is a translucent fiery red colour and is set within a broken brooch. It takes no effort to wedge it out.,"1,000. gp",Rare,n/a,Treasure,,,DMG,4
Fire Opal Chain,A fine gold chain set with a fire opal.,"2,500. gp",Rare,n/a,Treasure,,,DMG,4
Flail of Flagellation,"This imposing, three-headed flail has a +2 bonus to attack and damage rolls. Any creature that takes damage from this flail may immediately make a saving throw against any one ongoing effect that is affecting them.",,Rare,,Weapon,1d8 Bludgeoning - Two-Handed,,Scribnibbler21,4
Frostbite Lilly,A pure white lily that becomes rigid when picked. Its petals are icy cold and shatter like glass if mishandled.,150. gp,Rare,,Potion,"If kept intact, this flower will refrigerate any container smaller than a 6x6x6 cube for up to one week. The six petals may be plucked and crushed, creating a sheen of ice in a 10 foot radius. If used over water, this will freeze 3 inches thick.",,/u/gimme_some_sunshine,4
Gauntlets,"The curse of the gauntlets was that no magic would ever help you, beneficial or baneful and anything you were in contact with would lose its magical properties while you're touching it. found out the contact one when visiting flying mage's tower. I was no longer welcome there, but with certain classes the gloves are pretty sweet even considering the downside. Oh also the curse had a very specific trigger, the gauntlets could only be removed if you cast remove curse on them and then had a chaotic neutral halfling pull them off of you with the intention of stealing them. even if you hacked your arms off and then had regeneration cast on you your hands would grow back with the gauntlets on them.",,Rare,,Armor,,,,4
Giant Temple Candles,"Six giant temple candles. Each is 6’ tall, 1’ thick, and weighs 100 lbs. They are made of fine white wax, rolled in gold dust, and set with emeralds. (320 gps each)","1,920. gp",Rare,,Treasure,,,,4
Girdle of Femininity/Masculinity,"The cursed Girdle of Femininity and Masculinity, a rare yet oft-discussed magical item, is wrought with a most powerful magic. Anyone unfortunate enough to secure it around their waist instantly finds their gender to be transformed. It is said that not fifty years past, a nameless court jester was beheaded for presenting the girdle as a gift to Duke Lobelahn's lover.	",200. gp,Rare,2,Wondrous Item,"Changes the gender of the wearer.
Requires ""Remove Curse"".",,Baldur's Gate,4
Gold Circlet,A gold circlet set with four aquamarines.,"2,500. gp",Rare,n/a,Treasure,,,DMG,4
Gold Idol,A small gold idol.,750. gp,Rare,1,Treasure,,,DMG,4
Gold Plated Idols,Gold plated idols – possession = death penalty,160. gp,Rare,,Quest Hook,,,PlatypusPal,4
Grog of Substantial Whimsy,http://www.dandwiki.com/wiki/Grog_of_Susbtantial_Whimsy_%283.5e_Equipment%29,,Rare,,Potion,,,,4
Hammer of Thunderous Power,"Thunder Hammer – deafening or stunned, DC save, 40’ radius",,Rare,,Weapon,,,,4
Harp,A carved harp of exotic wood with an ivory inlay and zircon gems.,750. gp,Rare,80,Treasure,,,DMG,4
Headband of Enslavement,Description needed.,,Rare,,Armor,,,,4
Headdress of the Dawn Dancer,"At the end of a long rest, a Bard attuned to this item may perform a dancing ritual while wearing it. That bard makes a Performance check. Each creature that watches the whole ritual performance may replace their result for one attack roll, ability check, or saving throw with the result of the bard's performance check. The ritual performance takes 5 minutes to complete. ",,Rare,n/a,Wondrous Item,,,Scribnibbler21,4
Helm of Confusion," Helm – cherubic infant embellishment, emits confusion spell at wil",,Rare,,Armor,,,,4
Helm of Unsurvivable Knowledge,"A 'God-Helmet' that explained the universe when you put it on. It usually just fried your brain though, small chance of enlightenment or instant death.",,Rare,,Armor,,,,4
Hollow Glass Sphere,"A hollow glass sphere of surprising proportions – nearly three meters across. If it is broken those nearby will catch the barest scent of alien perfumes, hinting at strange lands belonging to the ancient time when the sphere was first forged and air trapped within it.","1,000. gp",Rare,,Treasure,,,,4
Hyperstone,Once per day this item grants one extra attack for it's user.,,Rare,,Wondrous Item,,,,4
Javelin of Explosions,"5x range, normal range 5x dmg, 2xs range = 4xs dmg, 3xs range = 3xs dmg, etc… - explodes & destroyed after use except at 5xs or 4xs range",,Rare,2,Weapon,1d6 Piercing - Simple - Thrown - Range: 30/120,,,4
Jeweled Anklet,A jeweled anklet.,"2,500. gp",Rare,n/a,Treasure,,,DMG,4
Lost Diamond,A sizeable cut diamond with bluish tint.,500. gp,Rare,,Treasure,"Whenever this diamond is sought, it has a DC 12 to be found. If it is not found, it is in the ethereal plane, and remains there for 30 minutes until reappearing.",,/u/gimme_some_sunshine,4
Magmatic Elixir,"A viscous potion in a clear glass bottle. It is uncomfortably hot to hold, and glows a faint orange in darkness.",150. gp,Rare,,Potion,"When you drink this potion, make a constitution saving throw with a DC of 14. If you fail the save, you painfully vomit the substance, and suffer 2d6 fire damage. Otherwise, you gain the ability to breath fire for ten minutes. Breathing on enemies deals 2d6 + your current level in damage to foes in a 15 foot line, and ignites flammable objects.",,/u/gimme_some_sunshine,4
Magnetic Grappling Hook,Self-guided grappling hook - +10 to ranged attack roll for aiming,,Rare,,Wondrous Item,,,,4
"Malluf's Not-Quite-Full, Not-Quite-Empty Quiver"," Near-Empty-Ever-Full One Arrow Quiver – always only 1 arrow, will reappear after being shot.",,Rare,,Wondrous Item,,,,4
Mantle Set,An embroidered silk and velvet mantle set with numerous moonstones. ,"2,500. gp",Rare,5,Treasure,,,DMG,4
Masterpiece Painting,"An old painting, a lot treasure by a painter of some renoun.","2,500. gp",Rare,10,Treasure,,,DMG,4
Mongrel Collar,"A black leather collar, stiff from wear and riddled with bite marks.",75. gp,Rare,,Wondrous Item,"While wearing this collar, you are unable to speak. At most, you may utter grunts and yelps like a dog.",,/u/gimme_some_sunshine,4
Music Box,An ornate golden music box.,"2,500. gp",Rare,3,Treasure,,,DMG,4
Necromancer's Saddle,Black leather saddle with streaks of red through the leather itself. A small amount of black smoke emanates from the saddle when it is holding still.,"2,000. gp",Rare,30,Wondrous Item,"You can use an action to place this saddle on the corpse or skeleton of a Large creature and animate it as an undead mount. The undead creature's bones shift as necessary to create something similar to a warhorse skeleton (MM 273), which follows your mental commands as long as you are riding it. The effect lasts until you remove the saddle, or until the next dawn. When the effect ends, the undead creature crumbles into dust.",,/u/gimme_some_sunshine,4
Nightmare Pipeweed,"A common looking pipeweed, which smells only a little sweeter than the most common varieties. Close inspection reveals occasional black burrs mixed among the leaves.",150. gp,Rare,,Potion,"Smoking this pipeweed causes a brief feeling of relaxation and elation. A few minutes in, however, the experience falls into terror. The smoker will hallucinate that they are being pursued by a nightmarish figment that is never fully visible. The pursuer will never actually reach them, but if the smoker fails a wisdom check of DC 15, they will be compelled to flee in a random direction for ten minutes.",,/u/gimme_some_sunshine,4
Obsidian Statuette,An obsidian statuette of a demon with a golden inlay and fittings.,750. gp,Rare,2,Treasure,,,DMG,4
Olivewood Staff,"A very heavy, hard staff engrained with beautiful swirling, natural patterns across the wood. It has a large diameter and is slightly tapered to be thicker at one end. It can be used like a normal quarterstaff, except at 1d8 damage. However, in the hands of a Druid or a 5th-level Ranger, the staff's thicker tip can be lit at-will like a Sunrod of any color. The wielder is also capable of easily distinguishing any non-natural (magical) trees, and can speak Entish (so long as they could already speak Elvish).","4,000. gp",Rare,8,,,,/u/LittleDizzleDaGusha,4
Opal,A translucent pale blue Opal with green and golden mottling.,"1,000. gp",Rare,n/a,Treasure,,,DMG,4
Ornate Longsword,This longsword seems to have been made more for show than for use. It is silver-plated steel and has a jet gemstone set inside the hilt.,750. gp,Rare,5,Treasure,1d8 Slashing - Versatile (1d10),Marial Weapon Expertise,DMG,4
Outdated Book of Prophecies,"A small, leather-bound book filled with prophecies. All of them will be found to be true, but the last of them is dated just a few weeks ago.",150. gp,Rare,,Book,,Language: Elvish,PlatypusPal,4
Pearl Necklace,A necklace string of small pink pearls.,"2,500. gp",Rare,n/a,Treasure,,,DMG,4
Peridot Gemstone,A circular Peridot of rich green colouring with milky inclusions.,500. gp,Rare,n/a,Treasure,,,DMG,4
Philter of Blave,"A viscous, golden liquid inside of a corked glass vial.","1,000. gp",Rare,1 lb,Potion,"After drinking the potion, you are compelled to speak first in every conversation and become unable to say anything which is not a deliberate and blatant lie. You believe the lies yourself [and reality itself can alter in minor ways, as determined by the DM, to reflect what you say. Your lies cannot place yourself or any other creature in immediate physical harm]. For the duration of the effect, you automatically succeed on saving throws against any spell or effect which would compel you to speak the truth. These effects last for 1 hour.",,/u/gimme_some_sunshine,4
Platinum Bracelet,A platinum bracelet set with a sapphire.,"2,500. gp",Rare,n/a,Treasure,,,DMG,4
Pouch of Healing Potions,A large carry pouch made from the skin of a monkey. Inside are 1d6 Potions of Superior Healing. ,750. gp,Rare,0.5,Potion,"You regain 8d4 + 8 hit points when you drink this potion. 
The potion's red liquid glimmers when agitated.",,Uberbeard,4
Prism of Paranoia,"This cursed item hovers just behind whoever it is attuned to, generating startling sounds and lights at random intervals. A character attuned to the Prism of Paranoia cannot sleep or benefit from long or short rests, but has +10 to passive Perception.",,Rare,n/a,Wondrous Item,,,Scribnibbler21,4
Rafting Cloak,An cherrywood cloak that repels water perfectly.,550. gp,Rare,,Armor,"This cloak may be spread like a blanket over open water. When it is, it can support up to 300 lbs as a raft, staying perfectly buoyant and supportive even in moderately choppy conditions.",,/u/gimme_some_sunshine,4
